rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.16,0.21,94.8
2,2,Bayern Munich,German Bundesliga,3.5,0.38,94.44
3,3,Liverpool,Barclays Premier League,2.87,0.31,91.91
4,4,Barcelona,Spanish Primera Division,2.9,0.43,90.33
5,5,Real Madrid,Spanish Primera Division,2.67,0.37,89.49
6,6,Paris Saint-Germain,French Ligue 1,3.19,0.65,89.15
7,7,RB Leipzig,German Bundesliga,2.57,0.4,88.09
8,8,Manchester United,Barclays Premier League,2.38,0.4,86.23
9,9,Chelsea,Barclays Premier League,2.44,0.47,85.54
10,10,Borussia Dortmund,German Bundesliga,2.58,0.56,85.38
11,11,Juventus,Italy Serie A,2.44,0.54,84.28
12,12,Atletico Madrid,Spanish Primera Division,2.08,0.36,83.78
13,13,Bayer Leverkusen,German Bundesliga,2.45,0.61,82.94
14,14,Atalanta,Italy Serie A,2.67,0.75,82.78
15,15,Leicester City,Barclays Premier League,2.16,0.5,81.58
16,16,Getafe,Spanish Primera Division,1.8,0.31,81.31
17,17,Wolverhampton,Barclays Premier League,2.04,0.47,80.53
18,18,Sevilla FC,Spanish Primera Division,2.15,0.56,80.28
19,19,Internazionale,Italy Serie A,2.27,0.67,79.48
20,20,Everton,Barclays Premier League,2.1,0.64,77.72
21,21,Real Sociedad,Spanish Primera Division,2.12,0.68,77.04
22,22,Arsenal,Barclays Premier League,2.14,0.7,76.77
23,23,Zenit St Petersburg,Russian Premier Liga,2,0.62,76.75
24,24,Tottenham Hotspur,Barclays Premier League,2.2,0.75,76.59
25,25,Ajax,Dutch Eredivisie,2.54,0.99,76.46
26,26,Lazio,Italy Serie A,2.18,0.75,76.44
27,27,Borussia Monchengladbach,German Bundesliga,2.24,0.81,75.89
28,28,AS Roma,Italy Serie A,2.17,0.8,75.15
29,29,FC Salzburg,Austrian T-Mobile Bundesliga,2.72,1.18,75.14
30,30,Napoli,Italy Serie A,2.11,0.76,75.14
31,31,FC Porto,Portuguese Liga,1.97,0.69,74.53
32,32,VfL Wolfsburg,German Bundesliga,2,0.73,73.91
33,33,Olympiacos,Greek Super League,1.95,0.7,73.8
34,34,Flamengo,Brasileiro Série A,2.15,0.85,73.73
35,35,Lyon,French Ligue 1,1.8,0.61,73.46
36,36,Sheffield United,Barclays Premier League,1.76,0.59,73.32
37,37,Real Betis,Spanish Primera Division,2.01,0.76,73.31
38,38,Benfica,Portuguese Liga,2.11,0.84,73.27
39,39,Watford,Barclays Premier League,1.92,0.72,72.81
40,40,AC Milan,Italy Serie A,1.96,0.76,72.46
41,41,FC Cologne,German Bundesliga,2.05,0.86,71.87
42,42,Athletic Bilbao,Spanish Primera Division,1.75,0.64,71.79
43,43,Villarreal,Spanish Primera Division,2.12,0.91,71.79
44,44,Burnley,Barclays Premier League,1.84,0.73,71.17
45,45,Shakhtar Donetsk,UEFA Europa League,2.19,1.01,70.91
46,46,Lille,French Ligue 1,1.75,0.68,70.78
47,47,Celtic,Scottish Premiership,2.22,1.03,70.69
48,48,Brighton and Hove Albion,Barclays Premier League,1.87,0.77,70.62
49,49,Eintracht Frankfurt,German Bundesliga,1.99,0.87,70.53
50,50,Granada,Spanish Primera Division,1.68,0.65,70.41
51,51,Osasuna,Spanish Primera Division,1.88,0.79,70.37
52,52,Crystal Palace,Barclays Premier League,1.76,0.71,70.27
53,53,Celta Vigo,Spanish Primera Division,1.76,0.73,69.72
54,54,Valencia,Spanish Primera Division,2.02,0.94,69.46
55,55,Espanyol,Spanish Primera Division,1.85,0.82,69.26
56,56,Eibar,Spanish Primera Division,1.71,0.74,68.56
57,57,Leganes,Spanish Primera Division,1.61,0.67,68.49
58,58,Club Brugge,Belgian Jupiler League,1.84,0.84,68.44
59,59,Southampton,Barclays Premier League,1.88,0.88,68.31
60,60,Leeds United,English League Championship,1.79,0.82,67.97
61,61,Fiorentina,Italy Serie A,1.78,0.82,67.91
62,62,Palmeiras,Brasileiro Série A,1.79,0.83,67.88
63,63,AS Monaco,French Ligue 1,1.96,0.97,67.69
64,64,Basel,Swiss Raiffeisen Super League,2.02,1.02,67.62
65,65,TSG Hoffenheim,German Bundesliga,2.1,1.09,67.48
66,66,AZ,Dutch Eredivisie,1.97,0.99,67.31
67,67,West Ham United,Barclays Premier League,1.94,0.97,67.27
68,68,Marseille,French Ligue 1,1.71,0.8,67.12
